wavelength,R sensitivity,G sensitivity,B sensitivity
380,0.00004,0.00001,0.00003
382,0.00007,0.00001,0.00005
384,0.00009,0.00001,0.00007
386,0.00015,0.00002,0.00013
388,0.00023,0.00003,0.00024
390,0.00032,0.00004,0.00035
392,0.00045,0.00007,0.00065
394,0.00059,0.00009,0.00095
396,0.00068,0.00012,0.00126
398,0.00072,0.00013,0.00157
400,0.00077,0.00015,0.00188
402,0.00177,0.00042,0.0054
404,0.00277,0.00068,0.00892
406,0.00781,0.00223,0.02933
408,0.01689,0.00506,0.06663
410,0.02598,0.00788,0.10393
412,0.03864,0.01317,0.16597
414,0.0513,0.01846,0.22801
416,0.05954,0.02285,0.27721
418,0.06338,0.02634,0.31356
420,0.06722,0.02983,0.34992
422,0.06759,0.03288,0.38118
424,0.06796,0.03594,0.41244
426,0.06788,0.03912,0.43854
428,0.06734,0.04244,0.45948
430,0.06681,0.04575,0.48043
432,0.06581,0.04977,0.50103
434,0.06481,0.05378,0.52163
436,0.06367,0.05791,0.54314
438,0.06239,0.06215,0.56556
440,0.0611,0.06639,0.58798
442,0.05956,0.07108,0.60974
444,0.05801,0.07577,0.63149
446,0.05624,0.08057,0.64754
448,0.05425,0.08549,0.65786
450,0.05227,0.09041,0.66819
452,0.05066,0.09733,0.6766
454,0.04905,0.10425,0.685
456,0.04805,0.11388,0.69266
458,0.04765,0.12622,0.6996
460,0.04725,0.13856,0.70654
462,0.04703,0.15535,0.70477
464,0.04681,0.17214,0.703
466,0.04698,0.19123,0.70235
468,0.04754,0.21262,0.70282
470,0.0481,0.234,0.70328
472,0.04981,0.25802,0.70474
474,0.05151,0.28205,0.7062
476,0.05245,0.3004,0.70019
478,0.05262,0.3131,0.68669
480,0.0528,0.32579,0.67319
482,0.05141,0.32987,0.6511
484,0.05001,0.33395,0.62901
486,0.04898,0.34211,0.60741
488,0.04832,0.35435,0.5863
490,0.04766,0.3666,0.56518
492,0.04759,0.39047,0.54137
494,0.04752,0.41433,0.51756
496,0.04753,0.44114,0.49082
498,0.04761,0.47089,0.46115
500,0.0477,0.50063,0.43148
502,0.04902,0.53783,0.40549
504,0.05033,0.57502,0.3795
506,0.05259,0.6147,0.35555
508,0.05579,0.65686,0.33364
510,0.05899,0.69902,0.31173
512,0.06347,0.7326,0.2853
514,0.06795,0.76617,0.25887
516,0.07254,0.79242,0.23299
518,0.07725,0.81134,0.20767
520,0.08196,0.83026,0.18235
522,0.08595,0.84741,0.16612
524,0.08994,0.86457,0.14989
526,0.09233,0.87984,0.13742
528,0.09312,0.89323,0.12869
530,0.09391,0.90661,0.11997
532,0.09043,0.912,0.114
534,0.08696,0.91739,0.10803
536,0.08243,0.91407,0.10215
538,0.07683,0.90205,0.09634
540,0.07123,0.89002,0.09054
542,0.06702,0.87345,0.0851
544,0.06282,0.85687,0.07966
546,0.0601,0.84236,0.07456
548,0.05888,0.82992,0.06979
550,0.05766,0.81747,0.06503
552,0.05966,0.80167,0.06061
554,0.06165,0.78586,0.0562
556,0.06518,0.76434,0.05189
558,0.07024,0.73709,0.04767
560,0.07531,0.70985,0.04346
562,0.08464,0.67729,0.04016
564,0.09396,0.64473,0.03685
566,0.10976,0.61252,0.03402
568,0.13202,0.58067,0.03166
570,0.15429,0.54881,0.02929
572,0.21342,0.52137,0.02776
574,0.27256,0.49393,0.02622
576,0.35313,0.46398,0.02482
578,0.45513,0.43153,0.02357
580,0.55713,0.39907,0.02231
582,0.61693,0.36043,0.02071
584,0.67674,0.32178,0.0191
586,0.71198,0.28363,0.01744
588,0.72265,0.24597,0.0157
590,0.73332,0.2083,0.01397
592,0.72881,0.18002,0.01256
